P + 316 -2111774424 
F ole32.dll GetErrorInfo 0006bdd4 
F ole32.dll GetHGlobalFromILockBytes 0003e6e9 
F ole32.dll GetHGlobalFromStream 00050f97 
F ole32.dll GetHookInterface 000a2f3e 
F ole32.dll GetRunningObjectTable 00012b79 
F ole32.dll HACCEL_UserFree 00120af2 
F ole32.dll HACCEL_UserMarshal 00120b3b 
F ole32.dll HACCEL_UserSize 00120afa 
F ole32.dll HACCEL_UserUnmarshal 00120b89 
F ole32.dll HBITMAP_UserFree 000d9207 
F ole32.dll HBITMAP_UserMarshal 000d9031 
F ole32.dll HBITMAP_UserSize 000d8fb1 
F ole32.dll HBITMAP_UserUnmarshal 000d91c1 
F ole32.dll HBRUSH_UserFree 00120af2 
F ole32.dll HBRUSH_UserMarshal 00120b3b 
F ole32.dll HBRUSH_UserSize 00120afa 
F ole32.dll HBRUSH_UserUnmarshal 00120b89 
F ole32.dll HDC_UserFree 00120af2 
F ole32.dll HDC_UserMarshal 00120b3b 
F ole32.dll HDC_UserSize 00120afa 
F ole32.dll HDC_UserUnmarshal 00120b89 
F ole32.dll HENHMETAFILE_UserFree 000d946a 
F ole32.dll HENHMETAFILE_UserMarshal 000351a9 
F ole32.dll HENHMETAFILE_UserSize 00035163 
F ole32.dll HENHMETAFILE_UserUnmarshal 000d9424 
F ole32.dll HGLOBAL_UserFree 0009893a 
F ole32.dll HGLOBAL_UserMarshal 0005e0f9 
F ole32.dll HGLOBAL_UserSize 0005e192 
F ole32.dll HGLOBAL_UserUnmarshal 00098964 
F ole32.dll HICON_UserFree 00120af2 
F ole32.dll HICON_UserMarshal 00120b3b 
F ole32.dll HICON_UserSize 00120afa 
F ole32.dll HICON_UserUnmarshal 00120b89 
F ole32.dll HMENU_UserFree 00120af2 
F ole32.dll HMENU_UserMarshal 00120b3b 
F ole32.dll HMENU_UserSize 00120afa 
F ole32.dll HMENU_UserUnmarshal 00120b89 
F ole32.dll HMETAFILEPICT_UserFree 000d93c4 
F ole32.dll HMETAFILEPICT_UserMarshal 00092c25 
F ole32.dll HMETAFILEPICT_UserSize 00092d1b 
F ole32.dll HMETAFILEPICT_UserUnmarshal 00092bdf 
F ole32.dll HMETAFILE_UserFree 000d963f 
F ole32.dll HMETAFILE_UserMarshal 000d94db 
F ole32.dll HMETAFILE_UserSize 000d9494 
F ole32.dll HMETAFILE_UserUnmarshal 000d9583 
F ole32.dll HPALETTE_UserFree 000d9207 
F ole32.dll HPALETTE_UserMarshal 000d96b1 
F ole32.dll HPALETTE_UserSize 000d9669 
F ole32.dll HPALETTE_UserUnmarshal 000d98a7 
F ole32.dll HWND_UserFree 00120af2 
F ole32.dll HWND_UserMarshal 00120b3b 
F ole32.dll HWND_UserSize 00120afa 
F ole32.dll HWND_UserUnmarshal 00120b89 
F ole32.dll HkOleRegisterObject 000a2f5d 
F ole32.dll IIDFromString 0007114d 
F ole32.dll IsAccelerator 0009825b 
F ole32.dll IsEqualGUID 00098239 
F ole32.dll IsValidIid 00012399 
F ole32.dll IsValidInterface 00013bad 
F ole32.dll IsValidPtrIn 000a3dab 
F ole32.dll IsValidPtrOut 000a3ddf 
F ole32.dll MkParseDisplayName 0003abc1 
F ole32.dll MonikerCommonPrefixWith 0009d8f8 
F ole32.dll MonikerRelativePathTo 0003455a 
F ole32.dll OleBuildVersion 000975ec 
F ole32.dll OleConvertIStorageToOLESTREAM 000f8c63 
F ole32.dll OleConvertIStorageToOLESTREAMEx 000f8cbe 
F ole32.dll OleConvertOLESTREAMToIStorage 000f8fa7 
F ole32.dll OleConvertOLESTREAMToIStorageEx 000f9048 
F ole32.dll OleCreate 0009b5b1 
F ole32.dll OleCreateDefaultHandler 000f12db 
F ole32.dll OleCreateEmbeddingHelper 000f11e3 
F ole32.dll OleCreateEx 0009b443 
F ole32.dll OleCreateFromData 0009bb84 
F ole32.dll OleCreateFromDataEx 0009ba88 
F ole32.dll OleCreateFromFile 000e9964 
F ole32.dll OleCreateFromFileEx 000e95ae 
F ole32.dll OleCreateLink 000e98ce 
F ole32.dll OleCreateLinkEx 000e930c 
F ole32.dll OleCreateLinkFromData 000363d2 
F ole32.dll OleCreateLinkFromDataEx 0003641d 
F ole32.dll OleCreateLinkToFile 000e9919 
F ole32.dll OleCreateLinkToFileEx 000e93ea 
F ole32.dll OleCreateMenuDescriptor 00098712 
F ole32.dll OleCreateStaticFromData 000e8ea8 
F ole32.dll OleDestroyMenuDescriptor 000989ac 
F ole32.dll OleDoAutoConvert 00097152 
F ole32.dll OleDraw 000e8416 
F ole32.dll OleDuplicateData 000e8720 
F ole32.dll OleFlushClipboard 0009a529 
F ole32.dll OleGetAutoConvert 00035b74 
F ole32.dll OleGetClipboard 0004cade 
F ole32.dll OleGetIconOfClass 000f2633 
F ole32.dll OleGetIconOfFile 000f2349 
F ole32.dll OleInitialize 0004949b 
F ole32.dll OleInitializeWOW 000991b2 
F ole32.dll OleIsCurrentClipboard 0009a379 
F ole32.dll OleIsRunning 000340e7 
F ole32.dll OleLoad 00097c9d 
F ole32.dll OleLoadFromStream 00038c62 
F ole32.dll OleLockRunning 000e7ffc 
F ole32.dll OleMetafilePictFromIconAndLabel 000f1e91 
F ole32.dll OleNoteObjectVisible 000e80a5 
F ole32.dll OleQueryCreateFromData 0004d064 
F ole32.dll OleQueryLinkFromData 0004d032 
F ole32.dll OleRegEnumFormatEtc 000f34a3 
F ole32.dll OleRegEnumVerbs 0009791d 
F ole32.dll OleRegGetMiscStatus 00034e33 
F ole32.dll OleRegGetUserType 00095979 
F ole32.dll OleRun 0006404f 
F ole32.dll OleSave 0003a19e 
F ole32.dll OleSaveToStream 0005e30e 
F ole32.dll OleSetAutoConvert 000f134a 
F ole32.dll OleSetClipboard 00044703 
F ole32.dll OleSetContainedObject 000e8052 
F ole32.dll OleSetMenuDescriptor 00063fb3 
F ole32.dll OleTranslateAccelerator 00098404 
F ole32.dll OleUninitialize 00049539 
F ole32.dll OpenOrCreateStream 0003a16e 
F ole32.dll ProgIDFromCLSID 000509ee 
F ole32.dll PropStgNameToFmtId 00102e4d 
F ole32.dll PropSysAllocString 001033cf 
F ole32.dll PropSysFreeString 001033e0 
F ole32.dll PropVariantChangeType 00102d27 
F ole32.dll PropVariantClear 000710af 
F ole32.dll PropVariantCopy 0010360a 
F ole32.dll ReadClassStg 00023d0c 
F ole32.dll ReadClassStm 00038d37 
F ole32.dll ReadFmtUserTypeStg 00037bb8 
F ole32.dll ReadOleStg 00096efb 
F ole32.dll ReadStringStream 0009569f 
F ole32.dll RegisterDragDrop 00014f91 
F ole32.dll ReleaseStgMedium 000457f7 
F ole32.dll RevokeDragDrop 00015051 
F ole32.dll SNB_UserFree 000d9b34 
F ole32.dll SNB_UserMarshal 000d9936 
F ole32.dll SNB_UserSize 000d98ed 
F ole32.dll SNB_UserUnmarshal 000d99d2 
F ole32.dll STGMEDIUM_UserFree 0005dbcb 
F ole32.dll STGMEDIUM_UserMarshal 0005dae4 
F ole32.dll STGMEDIUM_UserSize 0005db5d 
F ole32.dll STGMEDIUM_UserUnmarshal 0005dc6b 
F ole32.dll SetConvertStg 00099d1f 
F ole32.dll SetDocumentBitStg 000e83bc 
F ole32.dll SetErrorInfo 00014224 
F ole32.dll StgConvertPropertyToVariant 00105127 
F ole32.dll StgConvertVariantToProperty 001050aa 
F ole32.dll StgCreateDocfile 00023a42 
F ole32.dll StgCreateDocfileOnILockBytes 0003eb91 
F ole32.dll StgCreatePropSetStg 0010318c 
F ole32.dll StgCreatePropStg 00102ea9 
F ole32.dll StgCreateStorageEx 00024e97 
F ole32.dll StgGetIFillLockBytesOnFile 0010faed 
F ole32.dll StgGetIFillLockBytesOnILockBytes 0010f879 
F ole32.dll StgIsStorageFile 000958bf 
F ole32.dll StgIsStorageILockBytes 000fb6ca 
F ole32.dll StgOpenAsyncDocfileOnIFillLockBytes 0010f940 
F ole32.dll StgOpenPropStg 0010302a 
F ole32.dll StgOpenStorage 0001ae59 
F ole32.dll StgOpenStorageEx 00026aef 
F ole32.dll StgOpenStorageOnHandle 00029c46 
F ole32.dll StgOpenStorageOnILockBytes 000fb375 
F ole32.dll StgPropertyLengthAsVariant 001050ef 
F ole32.dll StgSetTimes 0002fb24 
F ole32.dll StringFromCLSID 00050f0d 
F ole32.dll StringFromGUID2 00012cfa 
F ole32.dll StringFromIID 000711e5 
F ole32.dll UpdateDCOMSettings 000aead4 
F ole32.dll UtConvertDvtd16toDvtd32 000f9e2e 
F ole32.dll UtConvertDvtd32toDvtd16 000fa12f 
F ole32.dll UtGetDvtd16Info 000f9d04 
F ole32.dll UtGetDvtd32Info 000fa01f 
F ole32.dll WdtpInterfacePointer_UserFree 00123eab 
F ole32.dll WdtpInterfacePointer_UserMarshal 001214a6 
F ole32.dll WdtpInterfacePointer_UserSize 00121312 
F ole32.dll WdtpInterfacePointer_UserUnmarshal 00123e60 
F ole32.dll WriteClassStg 00023ce2 
F ole32.dll WriteClassStm 0005e381 
F ole32.dll WriteFmtUserTypeStg 0003207b 
F ole32.dll WriteOleStg 00094bae 
F ole32.dll WriteStringStream 0003231b 
M 448 07f73000 "ole32.dll" 76990000 0013c000 82281810 
F apphelp.dll AllowPermLayer 000116e1 
F apphelp.dll ApphelpCheckExe 00010741 
F apphelp.dll ApphelpCheckIME 000107fe 
F apphelp.dll ApphelpCheckInstallShieldPackage 00010963 
F apphelp.dll ApphelpCheckMsiPackage 00010e52 
F apphelp.dll ApphelpCheckRunApp 000045d5 
F apphelp.dll ApphelpCheckShellObject 0000694e 
F apphelp.dll ApphelpFixMsiPackage 0001118d 
F apphelp.dll ApphelpFixMsiPackageExe 00011464 
F apphelp.dll ApphelpFreeFileAttributes 00011936 
F apphelp.dll ApphelpGetFileAttributes 00011926 
F apphelp.dll ApphelpGetNTVDMInfo 00010919 
F apphelp.dll ApphelpQueryModuleData 000075a9 
F apphelp.dll ApphelpShowDialog 000118fe 
F apphelp.dll ApphelpShowUI 000118f3 
F apphelp.dll ApphelpUpdateCacheEntry 00004966 
F apphelp.dll GetPermLayers 0001189f 
F apphelp.dll SdbCloseApphelpInformation 00012361 
F apphelp.dll SdbCloseDatabase 00002d6e 
F apphelp.dll SdbCreateMsiTransformFile 00014629 
F apphelp.dll SdbDeletePermLayerKeys 0001782d 
F apphelp.dll SdbEnumMsiTransforms 000140a9 
F apphelp.dll SdbFindFirstMsiPackage 00014c24 
F apphelp.dll SdbFindFirstMsiPackage_Str 00014d1a 
F apphelp.dll SdbFindFirstNamedTag 00007700 
F apphelp.dll SdbFindFirstTag 0000253f 
F apphelp.dll SdbFindFirstTagRef 0001801a 
F apphelp.dll SdbFindNextMsiPackage 00014c5f 
F apphelp.dll SdbFindNextTag 0000283b 
F apphelp.dll SdbFindNextTagRef 000180c0 
F apphelp.dll SdbFreeFlagInfo 000183ed 
F apphelp.dll SdbGetBinaryTagData 0001914d 
F apphelp.dll SdbGetDatabaseID 000136fc 
F apphelp.dll SdbGetDatabaseMatch 00019737 
F apphelp.dll SdbGetDatabaseVersion 00013a13 
F apphelp.dll SdbGetEntryFlags 00005cb2 
F apphelp.dll SdbGetFirstChild 000028d0 
F apphelp.dll SdbGetMsiPackageInformation 000147ec 
F apphelp.dll SdbGetNextChild 00002585 
F apphelp.dll SdbGetPermLayerKeys 000021f4 
F apphelp.dll SdbGetStandardDatabaseGUID 00015c58 
F apphelp.dll SdbGetStringTagPtr 00004d6e 
F apphelp.dll SdbGetTagDataSize 000024bc 
F apphelp.dll SdbGetTagFromTagID 000028a0 
F apphelp.dll SdbGrabMatchingInfo 0001aa51 
F apphelp.dll SdbGrabMatchingInfoEx 0001a66b 
F apphelp.dll SdbInitDatabase 000076bd 
F apphelp.dll SdbOpenApphelpDetailsDatabase 00011c75 
F apphelp.dll SdbOpenApphelpDetailsDatabaseSP 00011d43 
F apphelp.dll SdbOpenApphelpInformation 000120e6 
F apphelp.dll SdbOpenDatabase 00003ec5 
F apphelp.dll SdbQueryApphelpInformation 0001327f 
F apphelp.dll SdbQueryData 0000777b 
F apphelp.dll SdbQueryDataEx 000077a2 
F apphelp.dll SdbQueryFlagInfo 0001839a 
F apphelp.dll SdbReadBYTETag 000191c1 
F apphelp.dll SdbReadBYTETagRef 00019236 
F apphelp.dll SdbReadBinaryTag 00005b75 
F apphelp.dll SdbReadDWORDTag 0000305c 
F apphelp.dll SdbReadDWORDTagRef 000192df 
F apphelp.dll SdbReadEntryInformation 0001988d 
F apphelp.dll SdbReadMsiTransformInfo 000142c1 
F apphelp.dll SdbReadQWORDTag 00007351 
F apphelp.dll SdbReadQWORDTagRef 00019333 
F apphelp.dll SdbReadStringTag 00019441 
F apphelp.dll SdbReadStringTagRef 000194bc 
F apphelp.dll SdbReadWORDTag 00002a4e 
F apphelp.dll SdbReadWORDTagRef 0001928a 
F apphelp.dll SdbRegisterDatabase 00016fb9 
F apphelp.dll SdbRegisterDatabaseEx 00016801 
F apphelp.dll SdbReleaseDatabase 00002e76 
F apphelp.dll SdbResolveDatabase 000171e3 
F apphelp.dll SdbSetPermLayerKeys 00017ae8 
F apphelp.dll SdbTagIDToTagRef 00005f24 
F apphelp.dll SdbTagRefToTagID 00005ae7 
F apphelp.dll SdbTagToString 0001aa77 
F apphelp.dll SdbUnregisterDatabase 00016fd4 
F apphelp.dll SetPermLayers 00011834 
F apphelp.dll ShimDumpCache 00011953 
F apphelp.dll ShimFlushCache 00011946 
M 448 07f73000 "apphelp.dll" 76d70000 00022000 82281810 
P + 520 -2111480416 
P + 532 -2111409184 
M 520 083b4000 "services.exe" 01000000 0001c000 82255da0 
M 520 083b4000 "ntdll.dll" 7c920000 00094000 82255da0 
M 520 083b4000 "kernel32.dll" 7c800000 0011c000 82255da0 
M 520 083b4000 "msvcrt.dll" 77be0000 00058000 82255da0 
M 520 083b4000 "advapi32.dll" 77da0000 000a9000 82255da0 
M 520 083b4000 "rpcrt4.dll" 77e50000 00091000 82255da0 
M 520 083b4000 "user32.dll" 77d10000 0008f000 82255da0 
M 520 083b4000 "gdi32.dll" 77ef0000 00046000 82255da0 
M 520 083b4000 "userenv.dll" 759d0000 000ae000 82255da0 
M 532 0837d000 "lsass.exe" 01000000 00006000 822673e0 
M 532 0837d000 "ntdll.dll" 7c920000 00094000 822673e0 
M 532 0837d000 "kernel32.dll" 7c800000 0011c000 822673e0 
M 532 0837d000 "advapi32.dll" 77da0000 000a9000 822673e0 
M 532 0837d000 "rpcrt4.dll" 77e50000 00091000 822673e0 
F lsasrv.dll DsRolerDcAsDc 0007e5a8 
F lsasrv.dll DsRolerDcAsReplica 0007e0bc 
F lsasrv.dll DsRolerDemoteDc 0007e322 
F lsasrv.dll DsRolerGetDcOperationProgress 0007dba8 
F lsasrv.dll DsRolerGetDcOperationResults 0007dc21 
F lsasrv.dll LsaIAddNameToLogonSession 0005532f 
F lsasrv.dll LsaIAllocateHeap 00051500 
F lsasrv.dll LsaIAllocateHeapZero 000030c6 
F lsasrv.dll LsaIAuditAccountLogon 0001a269 
F lsasrv.dll LsaIAuditAccountLogonEx 0001a290 
F lsasrv.dll LsaIAuditKdcEvent 00055543 
F lsasrv.dll LsaIAuditKerberosLogon 00055533 
F lsasrv.dll LsaIAuditLogonUsingExplicitCreds 000152fc 
F lsasrv.dll LsaIAuditNotifyPackageLoad 00020c9d 
F lsasrv.dll LsaIAuditPasswordAccessEvent 00056394 
F lsasrv.dll LsaIAuditSamEvent 00055d55 
F lsasrv.dll LsaICallPackage 00051820 
F lsasrv.dll LsaICallPackageEx 00051570 
F lsasrv.dll LsaICallPackagePassthrough 00051603 
F lsasrv.dll LsaICancelNotification 00051382 
F lsasrv.dll LsaIChangeSecretCipherKey 0005d56b 
F lsasrv.dll LsaICryptProtectData 0008b1bb 
F lsasrv.dll LsaICryptUnprotectData 0008b319 
F lsasrv.dll LsaIDsNotifiedObjectChange 0005ece5 
F lsasrv.dll LsaIEnumerateSecrets 0005d2c0 
F lsasrv.dll LsaIEventNotify 00051372 
F lsasrv.dll LsaIFilterSids 000600c8 
F lsasrv.dll LsaIForestTrustFindMatch 0005fe62 
F lsasrv.dll LsaIFreeForestTrustInfo 000643a7 
F lsasrv.dll LsaIFreeHeap 00003095 
F lsasrv.dll LsaIFreeReturnBuffer 00051674 
F lsasrv.dll LsaIFree_LSAI_PRIVATE_DATA 0005657c 
F lsasrv.dll LsaIFree_LSAI_SECRET_ENUM_BUFFER 00056546 
F lsasrv.dll LsaIFree_LSAPR_ACCOUNT_ENUM_BUFFER 0002264e 
F lsasrv.dll LsaIFree_LSAPR_CR_CIPHER_VALUE 0001abf2 
F lsasrv.dll LsaIFree_LSAPR_POLICY_DOMAIN_INFORMATION 000564c4 
F lsasrv.dll LsaIFree_LSAPR_POLICY_INFORMATION 0002ce29 
F lsasrv.dll LsaIFree_LSAPR_PRIVILEGE_ENUM_BUFFER 000565b8 
F lsasrv.dll LsaIFree_LSAPR_PRIVILEGE_SET 0005657c 
F lsasrv.dll LsaIFree_LSAPR_REFERENCED_DOMAIN_LIST 000100ad 
F lsasrv.dll LsaIFree_LSAPR_SR_SECURITY_DESCRIPTOR 00056596 
F lsasrv.dll LsaIFree_LSAPR_TRANSLATED_NAMES 0001003f 
F lsasrv.dll LsaIFree_LSAPR_TRANSLATED_SIDS 000564aa 
F lsasrv.dll LsaIFree_LSAPR_TRUSTED_DOMAIN_INFO 000564eb 
F lsasrv.dll LsaIFree_LSAPR_TRUSTED_ENUM_BUFFER 00056512 
F lsasrv.dll LsaIFree_LSAPR_TRUSTED_ENUM_BUFFER_EX 0005652c 
F lsasrv.dll LsaIFree_LSAPR_TRUST_INFORMATION 00024d19 
F lsasrv.dll LsaIFree_LSAPR_UNICODE_STRING 00056596 
F lsasrv.dll LsaIFree_LSAPR_UNICODE_STRING_BUFFER 000564aa 
F lsasrv.dll LsaIFree_LSAP_SITENAME_INFO 00064db1 
F lsasrv.dll LsaIFree_LSAP_SITE_INFO 000653c9 
F lsasrv.dll LsaIFree_LSAP_SUBNET_INFO 00064d64 
F lsasrv.dll LsaIFree_LSAP_UPN_SUFFIXES 000653c9 
F lsasrv.dll LsaIFree_LSA_FOREST_TRUST_COLLISION_INFORMATION 0005feb9 
F lsasrv.dll LsaIFree_LSA_FOREST_TRUST_INFORMATION 0005fe91 
F lsasrv.dll LsaIGetBootOption 000664f2 
F lsasrv.dll LsaIGetCallInfo 0000ac89 
F lsasrv.dll LsaIGetForestTrustInformation 00067de4 
F lsasrv.dll LsaIGetLogonGuid 000151ed 
F lsasrv.dll LsaIGetNbAndDnsDomainNames 00054aac 
F lsasrv.dll LsaIGetPrivateData 0006b062 
F lsasrv.dll LsaIGetSerialNumberPolicy 0006b480 
F lsasrv.dll LsaIGetSerialNumberPolicy2 0006b427 
F lsasrv.dll LsaIGetSiteName 00065429 
F lsasrv.dll LsaIHealthCheck 00020e33 
F lsasrv.dll LsaIImpersonateClient 000097ef 
F lsasrv.dll LsaIInitializeWellKnownSids 0002aa27 
F lsasrv.dll LsaIIsClassIdLsaClass 0006c852 
F lsasrv.dll LsaIIsDsPaused 00064ddb 
F lsasrv.dll LsaIKerberosRegisterTrustNotification 0005dad6 
F lsasrv.dll LsaILookupWellKnownName 0006d4bf 
F lsasrv.dll LsaINotifyChangeNotification 00025c12 
F lsasrv.dll LsaINotifyNetlogonParametersChangeW 00065407 
F lsasrv.dll LsaINotifyPasswordChanged 0004410b 
F lsasrv.dll LsaIOpenPolicyTrusted 00020a34 
F lsasrv.dll LsaIQueryForestTrustInfo 0006496d 
F lsasrv.dll LsaIQueryInformationPolicyTrusted 00020977 
F lsasrv.dll LsaIQuerySiteInfo 0006569f 
F lsasrv.dll LsaIQuerySubnetInfo 00065841 
F lsasrv.dll LsaIQueryUpnSuffixes 00065ae5 
F lsasrv.dll LsaIRegisterNotification 0001d356 
F lsasrv.dll LsaIRegisterPolicyChangeNotificationCallback 0000f932 
F lsasrv.dll LsaISafeMode 000209fa 
F lsasrv.dll LsaISamIndicatedDsStarted 0006ce2f 
F lsasrv.dll LsaISetBootOption 000663c3 
F lsasrv.dll LsaISetClientDnsHostName 00064df0 
F lsasrv.dll LsaISetLogonGuidInLogonSession 000553c3 
F lsasrv.dll LsaISetPrivateData 0006b105 
F lsasrv.dll LsaISetSerialNumberPolicy 0006b37b 
F lsasrv.dll LsaISetTimesSecret 0005cbf5 
F lsasrv.dll LsaISetupWasRun 00024d31 
F lsasrv.dll LsaITestCall 0006f7e1 
F lsasrv.dll LsaIUnregisterAllPolicyChangeNotificationCallback 0006efe8 
F lsasrv.dll LsaIUnregisterPolicyChangeNotificationCallback 0006ef8b 
F lsasrv.dll LsaIUpdateForestTrustInformation 0006a6fc 
F lsasrv.dll LsaIWriteAuditEvent 0001fbd5 
F lsasrv.dll LsapAuOpenSam 000112b2 
F lsasrv.dll LsapCheckBootMode 0002b3d2 
F lsasrv.dll LsapDsDebugInitialize 000209ac 
F lsasrv.dll LsapDsInitializeDsStateInfo 00020d90 
F lsasrv.dll LsapDsInitializePromoteInterface 00020e79 
F lsasrv.dll LsapInitLsa 000210d0 
F lsasrv.dll LsarAddPrivilegesToAccount 00070077 
F lsasrv.dll LsarClose 0000760c 
F lsasrv.dll LsarCreateAccount 0006f81d 
F lsasrv.dll LsarCreateSecret 0005cff9 
F lsasrv.dll LsarCreateTrustedDomain 00063c91 
F lsasrv.dll LsarCreateTrustedDomainEx 00063b43 
F lsasrv.dll LsarDelete 0006f806 
F lsasrv.dll LsarEnumerateAccounts 00021fd4 
F lsasrv.dll LsarEnumeratePrivileges 00070501 
F lsasrv.dll LsarEnumeratePrivilegesAccount 0002f0c8 
F lsasrv.dll LsarEnumerateTrustedDomains 00063cf6 
F lsasrv.dll LsarEnumerateTrustedDomainsEx 00064063 
F lsasrv.dll LsarGetQuotasForAccount 0006f94b 
F lsasrv.dll LsarGetSystemAccessAccount 0002ee2f 
F lsasrv.dll LsarLookupNames 0006eacc 
F lsasrv.dll LsarLookupPrivilegeDisplayName 000705b2 
F lsasrv.dll LsarLookupPrivilegeName 0002efca 
F lsasrv.dll LsarLookupPrivilegeValue 0000a0e7 
F lsasrv.dll LsarLookupSids 0000ff2f 
F lsasrv.dll LsarLookupSids2 0000ab6c 
F lsasrv.dll LsarOpenAccount 0002ebc2 
F lsasrv.dll LsarOpenPolicy 0002d08a 
F lsasrv.dll LsarOpenPolicySce 0006b1d6 
F scesrv.dll ScesrvInitializeServer 000026bd 
F scesrv.dll ScesrvTerminateServer 0003bb8f 
M 520 083b4000 "scesrv.dll" 75840000 0004a000 82255da0 
M 520 083b4000 "authz.dll" 77fe0000 00011000 82255da0 
F umpnpmgr.dll DeleteServicePlugPlayRegKeys 00013721 
F umpnpmgr.dll PNP_GetDeviceList 00002e35 
F umpnpmgr.dll PNP_GetDeviceListSize 0000570c 
F umpnpmgr.dll PNP_GetDeviceRegProp 00002f54 
F umpnpmgr.dll PNP_HwProfFlags 00005b4a 
F umpnpmgr.dll PNP_SetActiveService 00005946 
F umpnpmgr.dll RegisterScmCallback 00005f84 
F umpnpmgr.dll RegisterServiceNotification 00003366 
F umpnpmgr.dll ServiceEntry 00007d1d 
M 520 083b4000 "umpnpmgr.dll" 75820000 0001e000 82255da0 
M 520 083b4000 "winsta.dll" 762d0000 00010000 82255da0 
M 520 083b4000 "netapi32.dll" 5fdd0000 00054000 82255da0 
F ncobjapi.dll WmiAddObjectProp 00002a35 
F ncobjapi.dll WmiCommitObject 000016a4 
F ncobjapi.dll WmiCreateObject 00003278 
F ncobjapi.dll WmiCreateObjectWithFormat 000028da 
F ncobjapi.dll WmiCreateObjectWithProps 0000329e 
F ncobjapi.dll WmiDestroyObject 00004b4e 
F ncobjapi.dll WmiEventSourceConnect 00002f18 
F ncobjapi.dll WmiEventSourceDisconnect 00004ee0 
F ncobjapi.dll WmiIsObjectActive 0000147f 
F ncobjapi.dll WmiSetAndCommitObject 000013ab 
M 520 083b4000 "ncobjapi.dll" 5f9a0000 0000c000 82255da0 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@AAC@Z 00016bfa 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@AAD@Z 00016b53 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@AAE@Z 00016c0e 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@PAC@Z 00016bf0 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@PAD@Z 00016a33 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@PAE@Z 00016c04 
F msvcp60.dll ??$?5DU?$char_traits@D@std@@M@std@@YAAAV?$basic_istream@DU?$char_traits@D@std@@@0@AAV10@AAV?$complex@M@0@@Z 0001cd38 
F lsasrv.dll LsarOpenSecret 0001a6ab 
F lsasrv.dll LsarOpenTrustedDomain 0005ff93 
F lsasrv.dll LsarOpenTrustedDomainByName 0005fdf7 
F lsasrv.dll LsarQueryDomainInformationPolicy 00022d2c 
F lsasrv.dll LsarQueryForestTrustInformation 00069c62 
F lsasrv.dll LsarQueryInfoTrustedDomain 000602fe 
F lsasrv.dll LsarQueryInformationPolicy 00008a31 
F lsasrv.dll LsarQuerySecret 0001acb3 
F lsasrv.dll LsarQuerySecurityObject 0007240a 
F lsasrv.dll LsarQueryTrustedDomainInfo 00073921 
F lsasrv.dll LsarQueryTrustedDomainInfoByName 00061c9f 
F lsasrv.dll LsarRemovePrivilegesFromAccount 000700a5 
F lsasrv.dll LsarSetDomainInformationPolicy 00072031 
F lsasrv.dll LsarSetForestTrustInformation 00069e21 
F lsasrv.dll LsarSetInformationPolicy 000232f1 
F lsasrv.dll LsarSetInformationTrustedDomain 00062785 
F lsasrv.dll LsarSetQuotasForAccount 0006f965 
F lsasrv.dll LsarSetSecret 0001b232 
F lsasrv.dll LsarSetSecurityObject 000725db 
F lsasrv.dll LsarSetSystemAccessAccount 000700dc 
F lsasrv.dll LsarSetTrustedDomainInfoByName 0006398d 
F lsasrv.dll ServiceInit 00028f8f 
M 532 0837d000 "lsasrv.dll" 74480000 000ae000 822673e0 
M 532 0837d000 "msvcrt.dll" 77be0000 00058000 822673e0 
M 532 0837d000 "secur32.dll" 77fc0000 00011000 822673e0 
M 532 0837d000 "user32.dll" 77d10000 0008f000 822673e0 
M 532 0837d000 "gdi32.dll" 77ef0000 00046000 822673e0 
F samsrv.dll SamIAccountRestrictions 0000b9c0 
F samsrv.dll SamIAddDSNameToAlias 00024bbf 
F samsrv.dll SamIAddDSNameToGroup 00033550 
F samsrv.dll SamIAmIGC 0000cdef 
F samsrv.dll SamIChangePasswordForeignUser 000415c5 
F samsrv.dll SamIChangePasswordForeignUser2 0004107d 
F samsrv.dll SamIConnect 0000b85a 
F samsrv.dll SamICreateAccountByRid 0001c48a 
F samsrv.dll SamIDemote 00048f89 
F samsrv.dll SamIDemoteUndo 0004786b 
F samsrv.dll SamIDoFSMORoleChange 00028108 
F samsrv.dll SamIDsCreateObjectInDomain 0002a1bd 
F samsrv.dll SamIDsSetObjectInformation 0002dcb4 
F samsrv.dll SamIEnumerateAccountRids 00022a6e 
F samsrv.dll SamIEnumerateInterdomainTrustAccountsForUpgrade 00032853 
F samsrv.dll SamIFloatingSingleMasterOpEx 000370b9 
F samsrv.dll SamIFreeSidAndAttributesList 0000bae9 
