P + 316 -2111774424 
F ntoskrnl.exe ExIsProcessorFeaturePresent 00038346 
F ntoskrnl.exe ExIsResourceAcquiredExclusiveLite 00012065 
F ntoskrnl.exe ExIsResourceAcquiredSharedLite 00017836 
F ntoskrnl.exe ExLocalTimeToSystemTime 0002c1c4 
F ntoskrnl.exe ExNotifyCallback 00026126 
F ntoskrnl.exe ExQueryPoolBlockSize 0006ea8d 
F ntoskrnl.exe ExQueueWorkItem 0000d6fa 
F ntoskrnl.exe ExRaiseAccessViolation 0016f7a0 
F ntoskrnl.exe ExRaiseDatatypeMisalignment 0016f7b5 
F ntoskrnl.exe ExRaiseException 00005add 
F ntoskrnl.exe ExRaiseHardError 0016f9b9 
F ntoskrnl.exe ExRaiseStatus 00005b9a 
F ntoskrnl.exe ExReInitializeRundownProtection 0016cb27 
F ntoskrnl.exe ExRegisterCallback 000385de 
F ntoskrnl.exe ExReinitializeResourceLite 0002053f 
F ntoskrnl.exe ExReleaseFastMutexUnsafe 000047fa 
F ntoskrnl.exe ExReleaseResourceForThreadLite 000194ce 
F ntoskrnl.exe ExReleaseResourceLite 00004bd0 
F ntoskrnl.exe ExReleaseRundownProtection 000937ed 
F ntoskrnl.exe ExReleaseRundownProtectionEx 0016cba3 
F ntoskrnl.exe ExRundownCompleted 000b3f8a 
F ntoskrnl.exe ExSemaphoreObjectType 0008aaa0 
F ntoskrnl.exe ExSetResourceOwnerPointer 00019e1d 
F ntoskrnl.exe ExSetTimerResolution 0016ee77 
F ntoskrnl.exe ExSystemExceptionFilter 000c3faa 
F ntoskrnl.exe ExSystemTimeToLocalTime 00026812 
F ntoskrnl.exe ExUnregisterCallback 0006f31a 
F ntoskrnl.exe ExUuidCreate 000b98fb 
F ntoskrnl.exe ExVerifySuite 0003940e 
F ntoskrnl.exe ExWaitForRundownProtectionRelease 000a716f 
F ntoskrnl.exe ExWindowStationObjectType 0008af40 
F ntoskrnl.exe ExfAcquirePushLockExclusive 000a9dd2 
F ntoskrnl.exe ExfAcquirePushLockShared 000a9d5e 
F ntoskrnl.exe ExfInterlockedAddUlong 0000c4a2 
F ntoskrnl.exe ExfInterlockedCompareExchange64 0000c59d 
F ntoskrnl.exe ExfInterlockedInsertHeadList 0000c4b3 
F ntoskrnl.exe ExfInterlockedInsertTailList 0000c4d0 
F ntoskrnl.exe ExfInterlockedPopEntryList 0000c50e 
F ntoskrnl.exe ExfInterlockedPushEntryList 0000c527 
F ntoskrnl.exe ExfInterlockedRemoveHeadList 0000c4f1 
F ntoskrnl.exe ExfReleasePushLock 000a9c9b 
F ntoskrnl.exe Exfi386InterlockedDecrementLong 0000c549 
F ntoskrnl.exe Exfi386InterlockedExchangeUlong 0000c55b 
F ntoskrnl.exe Exfi386InterlockedIncrementLong 0000c538 
F ntoskrnl.exe Exi386InterlockedDecrementLong 00004966 
F ntoskrnl.exe Exi386InterlockedExchangeUlong 0000497b 
F ntoskrnl.exe Exi386InterlockedIncrementLong 00004951 
F ntoskrnl.exe FsRtlAcquireFileExclusive 0009bcf8 
F ntoskrnl.exe FsRtlAddLargeMcbEntry 000207f1 
F ntoskrnl.exe FsRtlAddMcbEntry 00054f4f 
F ntoskrnl.exe FsRtlAddToTunnelCache 000b8c80 
F ntoskrnl.exe FsRtlAllocateFileLock 000273da 
F ntoskrnl.exe FsRtlAllocatePool 000554e7 
F ntoskrnl.exe FsRtlAllocatePoolWithQuota 0005551e 
F ntoskrnl.exe FsRtlAllocatePoolWithQuotaTag 0005558a 
F ntoskrnl.exe FsRtlAllocatePoolWithTag 00055555 
F ntoskrnl.exe FsRtlAllocateResource 0013ac45 
F ntoskrnl.exe FsRtlAreNamesEqual 0009a1e5 
F ntoskrnl.exe FsRtlBalanceReads 000e82f4 
F ntoskrnl.exe FsRtlCheckLockForReadAccess 00026af1 
F ntoskrnl.exe FsRtlCheckLockForWriteAccess 00020058 
F ntoskrnl.exe FsRtlCheckOplock 000120a6 
F ntoskrnl.exe FsRtlCopyRead 0013a1ab 
F ntoskrnl.exe FsRtlCopyWrite 0013a476 
F ntoskrnl.exe FsRtlCurrentBatchOplock 0009a265 
F ntoskrnl.exe FsRtlDeleteKeyFromTunnelCache 0010690a 
